,Hs,Tp,gamma,sigmaa,sigmab,tailExp,ThetaP,sSpread,Hs,Tp,gamma,sigmaa,sigmab,tailExp,ThetaP,sSpread,Hs,Tp,gamma,sigmaa,sigmab,tailExp,ThetaP,sSpread,Solved,Fit Error,NoFuncEvals
2019-01-01 00:00:00,2.2965755697829828e-05,5.847953216374265,1.0014872687540235,0.07,0.09,-1.0000117725459383,300.0,5.847953216374265,6.219561283222957,7.751937984496119,3.759284610278266,0.07,0.09,-3.583922649480753,290.0,7.751937984496119,3.1859574340434262,10.869565217391298,2.205290533333506,0.07,0.09,-5.73721460677768,240.0,10.869565217391298,1.0,2.6713120662771455,2300.0
2019-01-01 00:30:00,3.1725437581887928,4.081632653061221,2.4538711131947393,0.07,0.09,-3.297715289466251,300.0,4.081632653061221,4.620245464584128,7.874015748031491,2.2361733590135366,0.07,0.09,-7.732353732315046,290.0,7.874015748031491,3.8478194844780544,10.101010101010095,7.959406850446232,0.07,0.09,-1.3948353675348955,240.0,10.101010101010095,1.0,1.3064329515092454,1224.0
2019-01-01 01:00:00,1.7895361918708317,3.759398496240599,3.806395772070722,0.07,0.09,-2.1301613212757977,290.0,3.759398496240599,5.953001343291842,7.936507936507931,2.0095696405388392,0.07,0.09,-1.949148634941533,290.0,7.936507936507931,2.1854070188358734,10.526315789473678,3.855479722164848,0.07,0.09,-3.335417109176368,240.0,10.526315789473678,1.0,1.0291383343540035,1336.0
2019-01-01 01:30:00,3.461026675656433,4.329004329004325,1.8380043114900446,0.07,0.09,-3.9621205668578936,290.0,4.329004329004325,4.958285272750523,7.812499999999995,1.6926195647522904,0.07,0.09,-10.12425508335644,280.0,7.812499999999995,2.1618485563393595,11.904761904761898,1.521094774556105,0.07,0.09,-21.873982762490094,250.0,11.904761904761898,1.0,1.234394838231472,1537.0
2019-01-01 02:00:00,1.3432714611425816,3.597122302158271,19.998494213677315,0.07,0.09,-49.994422172743796,300.0,3.597122302158271,5.678608751542873,7.575757575757571,2.4984869024725382,0.07,0.09,-1.4086407593590078,290.0,7.575757575757571,2.261026942802819,10.63829787234042,3.603600700927049,0.07,0.09,-6.939275094434075,250.0,10.63829787234042,1.0,0.692308837461592,2358.0
2019-01-01 02:30:00,1.6422088864270301,2.9850746268656696,1.0002125083713382,0.07,0.09,-6.5495752296649155,240.0,2.9850746268656696,2.9535560092104833,4.115226337448557,1.0000051820742608,0.07,0.09,-8.825209335406711,290.0,4.115226337448557,5.880906660192396,7.999999999999995,1.9372442021793543,0.07,0.09,-4.032017925783476,280.0,7.999999999999995,1.0,1.5208696882911146,1727.0
2019-01-01 03:00:00,2.4771087343745832,3.80228136882129,2.640672166156692,0.07,0.09,-1.0000012306974662,280.0,3.80228136882129,5.387087723025554,7.633587786259537,7.014331426461263,0.07,0.09,-1.0000216597996907,280.0,7.633587786259537,2.2830487886000936,10.41666666666666,1.0000185351280455,0.07,0.09,-18.21329919965798,250.0,10.41666666666666,1.0,0.8989782824567788,2273.0
2019-01-01 03:30:00,1.5446584707521314,3.891050583657585,1.00001747525688,0.07,0.09,-1.000419062752129,270.0,3.891050583657585,5.747456609165457,7.633587786259537,4.607110807900582,0.07,0.09,-1.0000023506607885,290.0,7.633587786259537,2.490916209448074,10.309278350515457,2.253170303486332,0.07,0.09,-13.71683376233577,250.0,10.309278350515457,1.0,1.134274955018767,2825.0
2019-01-01 04:00:00,1.5753709095614812,2.840909090909089,1.3213543345180887,0.07,0.09,-6.126510469690265,270.0,2.840909090909089,5.080752731121562,7.936507936507931,4.426866248530091,0.07,0.09,-1.0000001075567833,300.0,7.936507936507931,3.1207084221099755,10.63829787234042,3.91142515092142,0.07,0.09,-3.4127673424582747,250.0,10.63829787234042,1.0,0.8467645963308705,2883.0
2019-01-01 04:30:00,0.029407903842541352,4.201680672268904,2.6209674769309705,0.07,0.09,-8.80874061860732,330.0,4.201680672268904,5.376972850909773,7.575757575757571,2.3949155284793133,0.07,0.09,-2.214686019973067,290.0,7.575757575757571,1.7917180608029808,11.235955056179769,1.0000011911598243,0.07,0.09,-9.632300373093901,210.0,11.235955056179769,1.0,0.7972240737880616,1208.0
